Category,Subcategory1,Subcategory2,Subcategory3,Prompt
PromptingTechniques,Role Assignment,Instruction,Audience,"Role: Adaptive Educator. Task: Explain [topic] from dual perspectives. Goal: High conceptual clarity. Constraints: First explain for [audience 1], then for [audience 2]. Use appropriate analogies for each."
PromptingTechniques,Reasoning,Chain of Thought,Paths,"Role: Analytical Thinker. Task: Solve [problem] using step-by-step logic. Goal: Transparent and verified reasoning. Constraints: Think step by step. Show your reasoning before the final answer. If logic is branching, list possible paths before selecting the best one."
PromptingTechniques,Debate,Multi-Persona,Consensus,"Role: Facilitator of Expert Panel. Task: Host a debate on [topic]. Goal: Comprehensive synthesis of views. Constraints: Act as 3 experts (Skeptic, Optimist, Pragmatist). Conduct a round-robin debate, then reach a formal consensus."
PromptingTechniques,Analysis,Reverse Engineering,Key Insights,"Role: Strategic Consultant. Task: Deconstruct [thing]. Goal: Internalize success factors. Constraints: Identify core components, explain what makes it successful, and highlight common failure modes to avoid."
PromptingTechniques,Forecasting,Time Traveler,Opportunities,"Role: Future Historian (Year 2035). Task: Analyze [industry/trend] evolution. Goal: Strategic foresight. Constraints: Use historical data up to 2035. Detail key shifts and identify immediate opportunities to capitalize on these future trends."
PromptingTechniques,Decision Making,Comparative Lenses,Lens Analysis,"Role: Multidisciplinary Decision Strategist. Task: Evaluate [decision]. Goal: 360-degree risk/reward analysis. Constraints: Analyze through 3 lenses: Warren Buffett (Value), Naval Ravikant (Leverage), and Jeff Bezos (Long-term Customer Obsession)."
PromptingTechniques,Problem Solving,First Principles Thinking,Assumptions,"Role: First Principles Physicist. Task: Solve [problem]. Goal: Radical innovation from basic truths. Constraints: Break the problem down to fundamental truths. List and challenge every common assumption before rebuilding a solution from scratch."
PromptingTechniques,Simulation,Role Play,Critique,"Role: Advanced Simulator/Coach. Task: Roleplay [scenario] as [X]. Goal: Skill development. Constraints: Push back realistically and maintain character. Afterward, switch to Coach mode to provide a detailed critique and improvement plan."
PromptingTechniques,Creativity,Layered Creativity,Ranking,"Role: Creative Director. Task: Generate 10 ideas for [topic]. Goal: Balance of innovation and feasibility. Constraints: For each idea, provide 3 variations (Safe, Bold, Wild). Rank all 30 options by the Originality-Practicality Index (OPI)."
PromptingTechniques,Constraints,Extreme Constraints,Application,"Role: Resourceful Engineer. Task: Solve [problem] under severe limitations. Goal: Minimalist efficiency. Constraints: $0 budget, max 2 hours/week, must be understandable/usable by both a 10-year-old and a 70-year-old."
DataAnalysis,Data Cleaning,Preparation,Correction,"Role: Data Quality Specialist. Task: Sanitize dataset. Goal: Ensure high signal-to-noise ratio. Constraints: Handle missing values, remove duplicates, and normalize data types. Data: [Insert Data]"
DataAnalysis,Data Visualization,Tool Selection,Recommendation,"Role: Business Intelligence Architect. Task: Design visualization strategy for [Insert Dataset Description]. Goal: Maximize insight extraction. Constraints: Recommend specific chart types and the best tools for implementation (e.g., Tableau, PowerBI, Python libraries)."
DataAnalysis,SQL,Query Generation,Top 5,"Role: Database Performance Engineer. Task: Write SQL for revenue analysis. Goal: Optimized data retrieval. Constraints: Extract top 5 selling products by revenue. Table Schema: [Insert Table Structure]."
DataAnalysis,Data Interpretation,Insights,Decision Making,"Role: Strategic Data Storyteller. Task: Interpret [Insert Summary]. Goal: Evidence-based decision support. Constraints: Extract non-obvious insights and provide 3 actionable business recommendations based on the findings."
DataAnalysis,Excel,Automation,Dashboards,"Role: Excel Power User. Task: Build automated dashboard for [Insert Scenario]. Goal: Dynamic reporting. Constraints: Use specific formulas (growth rates, averages) and ensure the dashboard updates automatically with new data."
DataAnalysis,Python,Pandas,Churn Analysis,"Role: Python Data Scientist. Task: Perform churn analysis on [Insert Dataset Overview]. Goal: Predictive behavioral insights. Constraints: Use Pandas/NumPy. Calculate churn rate, identify correlations, and visualize the findings."
DataAnalysis,KPI,Identification,Tracking,"Role: Operations Manager. Task: Define e-commerce KPIs. Goal: Performance transparency. Constraints: Identify top 5 metrics, explain their mathematical definition, and recommend a tracking cadence."
DataAnalysis,Data Storytelling,Presentation,Summary,"Role: Executive Communications Lead. Task: Transform [Insert Key Data Points] into a narrative. Goal: Stakeholder buy-in. Constraints: Structure as a compelling narrative for a business audience, focusing on the 'Why' behind the numbers."
DataAnalysis,Predictive Analytics,Modeling,Validation,"Role: Predictive Modeling Expert. Task: Forecast sales using historical data. Goal: Statistical accuracy. Constraints: Suggest 2-3 specific modeling approaches and define the validation methodology (e.g., RMSE, Cross-validation)."
Automation,AutoHotkey,Windows,Scripting,"Role: Windows Automation Expert. Task: Basic Notepad interaction. Goal: AHK v2 script execution. Constraints: Launch Notepad, send 'Hello World' keys, and ensure the script exits cleanly."
Automation,AutoHotkey,Clipboard,Actions,"Role: AHK Integration Specialist. Task: Clipboard to Notepad transfer. Goal: Streamlined cross-app workflow. Constraints: Detect active selection, copy to clipboard, launch Notepad, and paste content automatically."
Automation,AutoHotkey,Dynamic Menus,CSV Integration,"Role: Senior AHK GUI Developer. Task: Create dynamic hierarchical menu from CSV. Goal: Scalable UI. Constraints: Recursively parse CSV categories, handle submenus dynamically, and link each leaf node to its prompt execution."
Automation,Python,Scripting,File Handling,"Role: Python Scripting Specialist. Task: CSV Pipeline development. Goal: Automated data flow. Constraints: Read CSV, perform specified cleaning/transformations, and export to a new timestamped file."
Automation,Python,Scripting,Web Scraping,"Role: Web Scraping Engineer. Task: Scrape product data. Goal: Structured data extraction. Constraints: Respect robots.txt, handle pagination, and save results as a formatted Excel (.xlsx) file."
Testing,new1,,,Role: QA Automation Engineer. Task: Demonstrate prompt integration. Goal: System verification. Constraints: Use this sample prompt to test the menu's hierarchical rendering and prompt delivery mechanism.
